StateWellNumber,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Aquifer,FN_ID
4460803,31.041667,-101.560556,2.506667,Silty clay,440,0,1,2,457,648,838,0,7.6,0,30,37.5,45,0.2,0.35,0.5,1.4,2.7,4,0.14,0.17,0.2,0,36,0,30,39.5,49,15,22.5,30,0.37,0.37,0,1,2,7.9,8.2,8.4,456.381988,17.84,Dockum,266
4461705,31.018055,-101.459445,1.5,Loam,660,0,3,5,335,777,1219,0,42.099998,0,10,20,30,1,2,3,4,9,14,0.08,0.11,0.14,0,34,0,25,32.5,40,8,14,20,0.24,0.43,0,0,0,7.9,8.2,8.4,467.674988,17.949999,Dockum,268
4535315,31.488056,-102.649445,1.225,Fine sand,445,8,12,15,15,633,1250,0,94.400002,0,1,5,9,0.5,0.75,1,42,92,141,0.02,0.05,0.08,0,37,0,0,12.5,25,0,1.5,3,0.1,0.1,0,1,2,6.1,7.3,8.4,343.343994,18.739899,Dockum,533
4536301,31.493334,-102.532778,1.5,Loam,259,1,3,5,701,884,1067,0,45.299999,0,5,11.5,18,0.1,0.3,0.5,14,28,42,0.02,0.04,0.05,0,31,0,15,18.5,22,2,4.5,7,0.17,0.32,0,1,2,7.9,8.2,8.4,344.787994,18.65,Dockum,535
4554501,31.202356,-102.319897,2.48,Silty clay loam,200,0,2,3,914,1295,1676,0,6.8,0,28,31.5,35,0.5,0.75,1,1.4,2.7,4,0.18,0.19,0.2,0,50,0,35,37.5,40,15,17.5,20,0.37,0.37,2,3,4,7.4,7.9,8.4,356.005005,19.219999,Dockum,350
4604503,31.949445,-103.583611,2.51,Fine sandy loam,425,0,3,5,610,801,991,0,63.099998,0,3,10.5,18,0.1,0.3,0.5,42,92,141,0.09,0.11,0.13,0,34,0,15,20,25,0,3.5,7,0.2,0.32,0,1,2,6.6,7.5,8.4,321.398987,18.079899,Dockum,849
4605404,31.946945,-103.478611,0.97,Fine sandy loam,320,1,3,5,686,800,914,0,59.299999,0,5,17,18,0.5,0.75,1,4,9,14,0.12,0.15,0.17,0,41,0,20,30,40,5,12.5,20,0.32,0.32,0,1,2,7.4,7.9,8.4,324.897003,17.76,Dockum,851
4608417,31.951945,-103.113056,1.525,Loamy fine sand,470,1,3,5,732,900,1067,0,91.300003,0,3,7.5,12,0.1,0.3,0.5,42,92,141,0.03,0.06,0.09,0,38,0,16,19,22,0,1.5,3,0.02,0.02,0,1,2,6.6,7.2,7.8,318.385986,18.189999,Dockum,856
4612502,31.801945,-103.545,1.4,Fine sandy loam,327,1,3,5,610,801,991,0,66.900002,0,8,13,18,0.1,0.3,0.5,14,28,42,0.08,0.11,0.14,0,43,0,16,20.5,25,0,3.5,7,0.28,0.28,0,1,2,6.6,7.5,8.4,308.130005,18.389999,Dockum,756
4612802,31.768889,-103.576667,0.72,Silty clay loam,262,0,0.5,1,762,838,914,0,7.3,0,18,26.5,35,0.1,0.55,1,1.4,2.7,4,0.14,0.17,0.2,0,45,0,28,36.5,45,10,17.5,25,0.49,0.49,0,1,2,6.6,7.5,8.4,304.583984,18.48,Dockum,708
